q,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
3 RUE CHARLIE CHAPLIN 77200 TORCY Seine-et-Marne,48.842361,2.654528,3 Rue Charlie Chaplin 77200 Torcy,0.6708082398452611,,housenumber,77468_0099_00003,3,3 Rue Charlie Chaplin,Rue Charlie Chaplin,77200,Torcy,"77, Seine-et-Marne, Île-de-France",77468,,,,ok
25 AVENUE DE LA GARE 78690 LES ESSARTS LE ROI Yvelines,48.720479,1.892107,25 Avenue de la Gare 78690 Les Essarts-le-Roi,0.8074851629502573,0.4756599999999999,housenumber,78220_0300_00025,25,25 Avenue de la Gare,Avenue de la Gare,78690,Les Essarts-le-Roi,"78, Yvelines, Île-de-France",78220,,,,ok
24 AVENUE HENRI BARBUSSE 91270 VIGNEUX SUR SEINE Essonne,48.698493,2.416717,24 Avenue Henri Barbusse 91270 Vigneux-sur-Seine,0.8432940495867767,,housenumber,91657_1470_00024,24,24 Avenue Henri Barbusse,Avenue Henri Barbusse,91270,Vigneux-sur-Seine,"91, Essonne, Île-de-France",91657,,,,ok
109 AVENUE CHARLES DE GAULLE 92200 NEUILLY SUR SEINE Hauts-de-Seine,48.881216,2.270531,109 Avenue Charles de Gaulle 92200 Neuilly-sur-Seine,0.7716438842975206,,housenumber,92051_1436_00109,109,109 Avenue Charles de Gaulle,Avenue Charles de Gaulle,92200,Neuilly-sur-Seine,"92, Hauts-de-Seine, Île-de-France",92051,,,,ok
1 RUE DE LA FERME 93460 GOURNAY SUR MARNE Seine-Saint-Denis,48.863107,2.575327,1 Rue de la Ferme 93460 Gournay-sur-Marne,0.668390156739812,,housenumber,93033_0280_00001,1,1 Rue de la Ferme,Rue de la Ferme,93460,Gournay-sur-Marne,"93, Seine-Saint-Denis, Île-de-France",93033,,,,ok
64 Avenue GEORGES GOSNAT 94200 IVRY SUR SEINE Val-de-Marne,48.813781,2.389127,64 Avenue Georges Gosnat 94200 Ivry-sur-Seine,0.7634780223285486,0.5150027272727272,housenumber,94041_4150_00064,64,64 Avenue Georges Gosnat,Avenue Georges Gosnat,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041,,,,ok
125 Avenue DE VERDUN 94200 IVRY SUR SEINE Val-de-Marne,48.809708,2.373197,125 Avenue de Verdun 94200 Ivry-sur-Seine,0.7521636192109777,,housenumber,94041_9600_00125,125,125 Avenue de Verdun,Avenue de Verdun,94200,Ivry-sur-Seine,"94, Val-de-Marne, Île-de-France",94041,,,,ok
83 BOULEVARD CHARLES DE GAULLE 95110 SANNOIS Val-d'Oise,48.972502,2.255364,83 Boulevard Charles de Gaulle 95110 Sannois,0.7885829966329966,,housenumber,95582_0490_00083,83,83 Boulevard Charles de Gaulle,Boulevard Charles de Gaulle,95110,Sannois,"95, Val-d'Oise, Île-de-France",95582,,,,ok
130 AVENUE JOSEPH KESSEL 78960 VOISINS LE BRETONNEUX Yvelines,48.766245,2.056361,Avenue Joseph Kessel 78960 Voisins-le-Bretonneux,0.768070303030303,,street,78688_0213,,Avenue Joseph Kessel,Avenue Joseph Kessel,78960,Voisins-le-Bretonneux,"78, Yvelines, Île-de-France",78688,,,,ok
82 AVENUE DE LA REPUBLIQUE 94120 FONTENAY SOUS BOIS Val-de-Marne,48.852808,2.457323,82 Avenue de la République 94120 Fontenay-sous-Bois,0.7910707215007214,,housenumber,94033_8145_00082,82,82 Avenue de la République,Avenue de la République,94120,Fontenay-sous-Bois,"94, Val-de-Marne, Île-de-France",94033,,,,ok
